item,count
BMW M3 Coup,2
Honda CR-V,14
Bentley Brooklands,1
Aston Martin V8 Vantage Coup,5
Ford Ranger,38
Volvo C30,20
Chrysler Sebring Sedan,3
Suzuki Kizashi,7
Dodge Charger,14
Lamborghini Gallardo Coup,1
Lexus LFA,1
Lexus LX,2
Ford Fiesta Hatchback,4
Saab 9-3 Sport Sedan,20
Mazda Mazda6,23
Volvo XC60,21
Subaru Forester,23
Chevrolet Suburban,3
Mercedes-Benz CLS-Class,3
BMW 6 Series Coup,1
MINI Cooper Hardtop,15
Toyota Sequoia,29
Dodge Durango,22
Jaguar XK Convertible,6
Ford Focus 5-Door,4
Ford E-150 Van,12
Ford Taurus,15
GMC Sierra 1500,124
Bentley Continental Flying Spur,5
Jeep Compass,12
BMW 7 Series,17
Honda Fit,12
Honda Civic Coup,17
Cadillac CTS Coupe,14
Subaru Impreza Hatchback,19
Bentley Mulsanne,1
Maybach 62,5
BMW 3 Series Sedan,18
Kia Optima,16
Honda Civic Coupe,8
Mazda CX-9,18
Mercedes-Benz E-Class Cabriolet,2
Cadillac DTS,8
Volkswagen Touareg,8
Infiniti FX,9
Maserati GranTurismo Coup,4
Transit Connect Van,4
Mitsubishi Galant,6
Volvo S40,7
Toyota Highlander,25
Lamborghini Gallardo Spyder,1
Lincoln Town Car,4
Mercury Mariner,16
Ford Fusion,29
Chevrolet Equinox,43
Cadillac SRX Crossover,7
Chevrolet Silverado 1500,116
Mitsubishi Eclipse Spyder,7
Subaru Impreza WRX Sedan,8
Hyundai Elantra Touring,14
Cadillac CTS-V Coupe,4
Rolls-Royce Phantom Sedan,4
Subaru Outback,14
GMC Savana,41
Volkswagen Golf R 2-Door,1
Audi A5 Cabriolet,3
Kia Forte Koup,12
Nissan Pathfinder,33
Chevrolet Corvette Z06,9
Jeep Patriot,23
Dodge Nitro,18
Mercedes-Benz CL-Class,8
Scion xB,10
Volvo V70,1
Kia Optima Hybrid,1
Toyota Avalon,5
Chevrolet Malibu,19
Volkswagen CC,10
Kia Forte 5-Door,6
Chevrolet Impala,9
Chevrolet Corvette ZR1,6
Suzuki Equator,15
GMC Acadia,28
Mercedes-Benz E-Class Sedan,11
Volkswagen Jetta,38
Chevrolet Sonic Sedan,6
Nissan Versa Sedan,13
Rolls-Royce Ghost,2
Audi Q7,12
Aston Martin Virage Coup,2
Ford F-150,185
Chevrolet Corvette Coupe,24
Chevrolet Corvette Grand Sport Coupe,24
BMW X5,10
Kia Sorento,22
Mercury Milan,10
Mercedes-Benz GLK-Class,4
Porsche Cayenne S Hybrid,1
Subaru Impreza WRX Hatchback,9
Volkswagen Tiguan,15
Mercedes-Benz M-Class,8
BMW 1 Series Coup,4
Hyundai Elantra Sedan,15
Acura RDX,4
BMW 5 Series Sedan,29
Buick Lacrosse,22
Toyota 4Runner,16
Infiniti M,13
Hyundai Sonata Hybrid,1
Chevrolet Express,21
Toyota Camry,26
Toyota Venza,8
Honda Civic Sedan,35
Ford Explorer,26
Hyundai Sonata,25
Honda Element,11
Nissan JUKE,2
Kia Rio 5-Door,4
BMW 1 Series Coupe,7
Suzuki SX4 Sportback,4
Chevrolet Aveo5,10
Audi A6 Sedan,5
Aston Martin DB9 Volante,7
Mitsubishi Lancer Sportback,3
Chrysler 200 Sedan,4
Cadillac CTS-V Wagon,4
Audi A8,7
Honda Accord Crosstour Hatchback,9
BMW X6,6
Ford Expedition,52
Hyundai Genesis Coupe,28
Cadillac Escalade Hybrid,10
Lincoln MKZ,2
Mazda Mazda2,8
Dodge Viper Coup,1
Volkswagen GTI 4-Door,4
Volvo XC90,18
Mercedes-Benz C-Class,20
Honda Accord Sedan,28
Toyota Yaris Sedan,4
Volkswagen Beetle,3
Chrysler Sebring Convertible,3
Ford Flex,26
Rolls-Royce Phantom Coupe,2
Cadillac SRX,16
Toyota FJ Cruiser,9
Acura MDX,3
Volkswagen Routan,12
Honda Accord Coup,7
Nissan 370Z Roadster,11
Porsche Cayman,5
Infiniti G25,6
Chrysler 200 Convertible,3
Dodge Viper Convertible,1
Chevrolet Suburban Half-Ton,6
Porsche Boxster,5
Dodge Challenger,11
Nissan Juke,2
Aston Martin V12 Vantage,4
Buick Enclave,20
Audi A6 Avant,2
Lincoln MKS,9
Buick Regal,13
Mercedes-Benz E-Class Wagon,1
